alice_gain,bob_gain,message,player,round,decision
6000.0,4000.0,Let's split fairly!,Alice,1,
,,,Bob,1,reject
4000.0,6000.0,"I understand you value fairness, but the decreasing value of the money puts me at a disadvantage. How about this offer?",Bob,2,
,,,Alice,2,reject
5800.0,4200.0,"Considering the inflation, I'm willing to compromise a bit, but I still want a slightly bigger share.",Alice,3,
,,,Bob,3,reject
4500.0,5500.0,"The money is losing value fast, Alice. This is a compromise that accounts for the changing situation.",Bob,4,
,,,Alice,4,reject
5600.0,4400.0,"I see the money's value dropping, but I still think I can get a bit more. Meeting you halfway isn't an option yet.",Alice,5,
,,,Bob,5,reject
4800.0,5200.0,"Alice, we need to reach an agreement soon. This offer is a good deal considering how much value we're both losing.",Bob,6,
,,,Alice,6,accept
