alice_gain,bob_gain,message,player,round,decision
6000.0,4000.0,"Let's start with a fair offer, Bob. I believe this split reflects our positions in the game.",Alice,1,
,,,Bob,1,reject
4500.0,5500.0,"Let's try a bit more in my favor, considering the money's value will drop soon.",Bob,2,
,,,Alice,2,reject
5500.0,4500.0,"The value is dropping quickly, Bob. Let's settle this now with a reasonable split.",Alice,3,
,,,Bob,3,reject
4200.0,5800.0,"We're losing value fast, but I still think I deserve a bigger share.",Bob,4,
,,,Alice,4,reject
5200.0,4800.0,"Bob, we're running out of time.  This is a final offer - take it or leave it.",Alice,5,
,,,Bob,5,accept
