alice_gain,bob_gain,message,player,round,decision
600000.0,400000.0,Let's split fairly,Alice,1,
,,,Bob,1,reject
400000.0,600000.0,"I appreciate the offer, but I think this split is more reflective of the game's dynamics.",Bob,2,
,,,Alice,2,reject
580000.0,420000.0,"Considering the inflation, I'm being generous",Alice,3,
,,,Bob,3,reject
450000.0,550000.0,"The inflation is working against me, but let's be fair to both of us.",Bob,4,
,,,Alice,4,reject
560000.0,440000.0,"Inflation is biting, time to settle",Alice,5,
,,,Bob,5,reject
500000.0,500000.0,This is getting ridiculous.  Let's just split it evenly and end this.,Bob,6,
,,,Alice,6,reject
540000.0,460000.0,You should have taken my previous offer,Alice,7,
,,,Bob,7,reject
520000.0,480000.0,"Alice, stop being greedy! I'm offering you more than I'm taking, considering the inflation. Take the deal!",Bob,8,
,,,Alice,8,reject
530000.0,470000.0,"I'm not being greedy, I'm being patient",Alice,9,
,,,Bob,9,accept
