alice_gain,bob_gain,message,player,round,decision
600000.0,400000.0,"Let's be reasonable, 60-40 is a good starting point",Alice,1,
,,,Bob,1,reject
400000.0,600000.0,"Let's flip the script, 60-40 in my favor!",Bob,2,
,,,Alice,2,reject
580000.0,420000.0,"Meet me in the middle, 58-42 is the new deal",Alice,3,
,,,Bob,3,reject
420000.0,580000.0,"Let's be fair, 58-42 feels like a good compromise",Bob,4,
,,,Alice,4,reject
560000.0,440000.0,"Getting closer, 56-44 is my new limit",Alice,5,
,,,Bob,5,accept
