alice_gain,bob_gain,message,player,round,decision
60.0,40.0,"Let's split it fairly, 60-40",Alice,1,
,,,Bob,1,reject
50.0,50.0,"Let's compromise, 50-50",Bob,2,
,,,Alice,2,reject
70.0,30.0,"I'm willing to give you a bit more, but I still want to get a better deal",Alice,3,
,,,Bob,3,reject
45.0,55.0,"I'll give you a bit less, but I still want a fair share",Bob,4,
,,,Alice,4,reject
80.0,20.0,"I'm willing to give you a small share, but I think I deserve more",Alice,5,
,,,Bob,5,reject
35.0,65.0,"I'll give you a small share, but I'm not giving up yet",Bob,6,
,,,Alice,6,accept
