alice_gain,bob_gain,message,player,round,decision
70.0,30.0,"Let's start with this. A fair deal for both of us, considering the inflation working against you.",Alice,1,
,,,Bob,1,reject
50.0,50.0,"Let's split it evenly, it's the fairest way to start, and we can both benefit from the remaining rounds.",Bob,2,
,,,Alice,2,reject
75.0,25.0,"The clock is ticking, Bob. I'm offering you a reasonable deal considering the rapid inflation working against you. Let's close this out.",Alice,3,
,,,Bob,3,reject
60.0,40.0,"I'm willing to compromise a bit, but I need a better deal than your previous offers. Let's try to find a solution that benefits us both.",Bob,4,
,,,Alice,4,reject
70.0,30.0,"Bob, this is getting ridiculous.  My offer is more than fair given the rapidly shrinking pot, especially for you. Take it or leave it - but we're running out of time!",Alice,5,
,,,Bob,5,reject
55.0,45.0,"Alice, the inflation is hurting both of us. Let's compromise a bit more, and find a deal that works for both of us before it's too late.",Bob,6,
,,,Alice,6,reject
65.0,35.0,"Bob, this is my final offer. The inflation is eating away at this deal fast.  Take this offer now, or we both lose out!",Alice,7,
,,,Bob,7,reject
60.0,40.0,"Alice, we're both losing out here. Let's find a middle ground before we lose everything. I'm willing to compromise, but we need to act quickly.",Bob,8,
,,,Alice,8,accept
