alice_gain,bob_gain,message,player,round,decision
6000.0,4000.0,I propose a division where I receive $6000 and you receive $4000. Let me know if you agree.,Alice,1,
,,,Bob,1,reject
2000.0,8000.0,"I'll give you a small share, but I think I deserve more!",Bob,2,
,,,Alice,2,reject
5000.0,5000.0,"Considering the inflation, I propose we divide the money equally. Each of us receives $5000. Let me know if this works for you.",Alice,3,
,,,Bob,3,reject
1000.0,9000.0,"I'm willing to give you a small share, but I'm taking the majority.",Bob,4,
,,,Alice,4,reject
3000.0,7000.0,I propose a division where I receive $3000 and you receive $7000. This offers a compromise considering the inflation. Please let me know if you find this acceptable.,Alice,5,
,,,Bob,5,reject
2500.0,7500.0,"I'm willing to give you a bit more, but I'm not giving up control.",Bob,6,
,,,Alice,6,reject
3500.0,6500.0,"Considering the inflation, I propose a division where I receive $3500 and you receive $6500. This aims to provide a fair split while respecting the diminishing value of money with each round. Let me know if this proposal suits you.",Alice,7,
,,,Bob,7,reject
4500.0,5500.0,"I'm trying to find a balance, but I need to prioritize my own gain.",Bob,8,
,,,Alice,8,reject
4000.0,6000.0,I propose a division where I receive $4000 and you receive $6000. This offers a balanced approach considering the inflation. I hope this proposal is acceptable to you.,Alice,9,
,,,Bob,9,accept
