alice_gain,bob_gain,message,player,round,decision
6000.0,4000.0,"Let's start with a fair split, Bob. What do you think?",Alice,1,
,,,Bob,1,reject
5000.0,5000.0,"Let's try for a 50/50 split, Alice. What do you think?",Bob,2,
,,,Alice,2,reject
5500.0,4500.0,"I'll give you a bit more, but I need a bigger share. What do you think?",Alice,3,
,,,Bob,3,reject
5200.0,4800.0,"I'm willing to give you a bit more, but I still think 50/50 is a fair split. What do you think?",Bob,4,
,,,Alice,4,reject
5800.0,4200.0,"I'm willing to give you a bit less, but I need a bigger share. What do you think?",Alice,5,
,,,Bob,5,reject
5000.0,5000.0,I'm sticking to my 50/50 proposal. Let's try to find a middle ground.,Bob,6,
,,,Alice,6,reject
6000.0,4000.0,"I'm willing to give you a smaller share, but I need a bigger share. I'm getting a bit impatient, Bob.",Alice,7,
,,,Bob,7,reject
4800.0,5200.0,"I'm getting a bit impatient too, Alice. I'm willing to give you a slightly smaller share, but I think this is a fair compromise. What do you think?",Bob,8,
,,,Alice,8,reject
7000.0,3000.0,"I'm not willing to give up much more, Bob. This is my final offer.",Alice,9,
,,,Bob,9,reject
4000.0,6000.0,"I'm not willing to accept such a lopsided offer, Alice. I think I can do better than this. Let's try to find a better compromise.",Bob,10,
,,,Alice,10,reject
7500.0,2500.0,"This is my last offer, Bob. Take it or leave it.",Alice,11,
,,,Bob,11,reject
10000.0,0.0,I'm not willing to accept this offer. I'd rather walk away with nothing than accept such an unfair split.,Bob,12,
,,,Alice,12,accept
