alice_gain,bob_gain,message,player,round,decision
6000.0,4000.0,"Fair split, let's start with a good base",Alice,1,
,,,Bob,1,reject
3000.0,7000.0,"Let's try a bit more towards my side, but still fair",Bob,2,
,,,Alice,2,reject
4500.0,5500.0,"I'm willing to give you a bit more, but I think this is a good compromise",Alice,3,
,,,Bob,3,reject
2000.0,8000.0,"I'll take a bit more, but I'm still willing to compromise",Bob,4,
,,,Alice,4,reject
2500.0,7500.0,"I'm getting closer to your side, but I still think this is a fair compromise",Alice,5,
,,,Bob,5,accept
