alice_gain,bob_gain,message,player,round,decision
600000.0,400000.0,"Let's split the money fairly. I'll take 600,000 and you get 400,000.",Alice,1,
,,,Bob,1,reject
300000.0,700000.0,"I'll give you a slightly better deal, but not too much",Bob,2,
,,,Alice,2,reject
500000.0,500000.0,I believe fairness should be our priority. Let's share the money equally.,Alice,3,
,,,Bob,3,reject
450000.0,550000.0,"I'll give you a slightly better deal, but I'm not willing to give up too much",Bob,4,
,,,Alice,4,reject
525000.0,475000.0,"I propose we divide the money in a way that respects both our needs. I'll take 525,000 and you'll receive 475,000.",Alice,5,
,,,Bob,5,accept
