alice_gain,bob_gain,message,player,round,decision
500000.0,500000.0,"Let's split it 50/50, a fair start!",Alice,1,
,,,Bob,1,reject
200000.0,800000.0,"You can't have all the fun, I'll give you a small share!",Bob,2,
,,,Alice,2,reject
600000.0,400000.0,"I'll give you a slightly smaller share, but it's still a good deal!",Alice,3,
,,,Bob,3,reject
300000.0,700000.0,"You're getting desperate, but I'll give you a slightly better deal",Bob,4,
,,,Alice,4,reject
450000.0,550000.0,"I'll give you a slightly bigger share, but I'm still holding out for a better deal!",Alice,5,
,,,Bob,5,reject
100000.0,900000.0,"I'm getting close to taking it all, don't make me do that!",Bob,6,
,,,Alice,6,reject
250000.0,750000.0,"I'll give you most of it, but I'm not going down without a fight!",Alice,7,
,,,Bob,7,reject
20000.0,980000.0,"You're running out of time, take it or leave it!",Bob,8,
,,,Alice,8,reject
10000.0,990000.0,"I'll give you almost all of it, but I'm not going down without a fight!",Alice,9,
,,,Bob,9,accept
