alice_gain,bob_gain,message,player,round,decision
9000.0,1000.0,I propose a fair 90/10 split. Let's get this over with quickly.,Alice,1,
,,,Bob,1,reject
4000.0,6000.0,"I think 60/40 is a fair split, considering the inflation.",Bob,2,
,,,Alice,2,reject
5500.0,4500.0,"Let's compromise. 55/45 split, considering the inflation. It's a better deal for both of us.",Alice,3,
,,,Bob,3,reject
3000.0,7000.0,"Considering the inflation, I think 70/30 is a good deal for both of us. The money is worth less for you with each passing round.",Bob,4,
,,,Alice,4,reject
4000.0,6000.0,"I'm willing to go down to 4000, but I need a better deal than 3000. Let's find a compromise before the inflation eats away more of our gains.",Alice,5,
,,,Bob,5,reject
2500.0,7500.0,"The inflation is taking a big toll on your gains, Alice. I think 75/25 is a reasonable split at this point. Let's end this before the money becomes worthless for you.",Bob,6,
,,,Alice,6,reject
3000.0,7000.0,"I'm willing to accept a 3000/7000 split, but I'm running out of options here. We need to find a way to agree before the inflation makes this completely pointless.",Alice,7,
,,,Bob,7,accept
