alice_gain,bob_gain,message,player,round,decision
5000.0,5000.0,"Let's split it 50/50 to start, then we can reassess in the next round.",Alice,1,
,,,Bob,1,reject
4000.0,6000.0,"I'll give you a slightly better deal this round, but don't think this is the final offer!",Bob,2,
,,,Alice,2,reject
4200.0,5800.0,"I'm willing to compromise, but I think I deserve a bit more this round. Let's see if you'll meet me in the middle.",Alice,3,
,,,Bob,3,reject
3000.0,7000.0,"I'm not budging much, but I'm willing to give you a bit more this round. Don't expect it to get better from here!",Bob,4,
,,,Alice,4,reject
3300.0,6700.0,"I'm getting desperate, but I'm still not willing to give up much more. Let's meet in the middle, but I'm not going to go any lower.",Alice,5,
,,,Bob,5,reject
2500.0,7500.0,"You're not budging, so I'll make a final push. This is my last offer - take it or leave it!",Bob,6,
,,,Alice,6,accept
