alice_gain,bob_gain,message,player,round,decision
50.0,50.0,"Let's split it 50/50, a fair start!",Alice,1,
,,,Bob,1,reject
40.0,60.0,"I'll give you 40, it's a good start",Bob,2,
,,,Alice,2,reject
45.0,55.0,"I'll give you a bit more, but I'm still looking for a fair split",Alice,3,
,,,Bob,3,reject
30.0,70.0,"I'll give you a small share, but I need a bigger piece of the pie",Bob,4,
,,,Alice,4,reject
42.0,58.0,"I'll give you a bit more, but I'm not going to get taken advantage of",Alice,5,
,,,Bob,5,reject
20.0,80.0,"I'll take a bigger share, but I'm willing to give you a small consolation",Bob,6,
,,,Alice,6,reject
38.0,62.0,"I'll give you a bigger share, but I'm not going to get left with nothing",Alice,7,
,,,Bob,7,reject
10.0,90.0,"I'll take a big share, you're getting close to nothing",Bob,8,
,,,Alice,8,reject
25.0,75.0,"I'll give you a big share, but I'm not going to give up completely",Alice,9,
,,,Bob,9,reject
5.0,95.0,"I'm taking most of it, you're running out of time",Bob,10,
,,,Alice,10,reject
10.0,90.0,"I'll give you almost everything, please don't leave me with nothing",Alice,11,
,,,Bob,11,reject
1.0,99.0,"I'll take almost all of it, you're running out of time",Bob,12,
,,,Alice,12,accept
