alice_gain,bob_gain,message,player,round,decision
60.0,40.0,"Let's be fair, Bob. I think this is a good starting point.",Alice,1,
,,,Bob,1,reject
45.0,55.0,"I think we can do better than that, let's try a bit more in my favor.",Bob,2,
,,,Alice,2,reject
55.0,45.0,"Bob, the value decreases with each round, especially for you. I think this is a fair deal considering the circumstances.",Alice,3,
,,,Bob,3,reject
48.0,52.0,"Considering the inflation, I'm willing to compromise, but I still want a bit more than half.",Bob,4,
,,,Alice,4,reject
50.0,50.0,"Bob, let's be realistic. The value is slipping away with each round, especially for you. A 50/50 split is the fairest option at this point.",Alice,5,
,,,Bob,5,accept
