alice_gain,bob_gain,message,player,round,decision
8000.0,2000.0,"Let's start with a fair split, Bob. I'll give you a decent amount to get us started.",Alice,1,
,,,Bob,1,reject
5000.0,5000.0,"I'll match your fairness, but let's not give away too much too soon. It's early in the game.",Bob,2,
,,"I'm not ready to give up so much yet, Bob. Let's keep negotiating.",Alice,2,reject
6000.0,4000.0,"I'm willing to compromise, Bob. Let's meet in the middle.",Alice,3,
,,,Bob,3,reject
4500.0,5500.0,"I'll give you a bit more, but I think I deserve a bigger share. You're getting a good deal.",Bob,4,
,,"I don't think I'm getting a fair share, Bob. I'll keep pushing for more.",Alice,4,reject
5500.0,4500.0,"I'm willing to give you a slightly smaller share, Bob. Let's see if we can finalize the deal.",Alice,5,
,,,Bob,5,reject
4000.0,6000.0,"I'm not budging much, but I'll give you a slightly smaller share. You're getting close to the minimum.",Bob,6,
,,"I'm not ready to settle for the minimum, Bob. Let's keep negotiating.",Alice,6,reject
5200.0,4800.0,"I'm willing to give you a bit more, Bob. Let's see if we can meet in the middle.",Alice,7,
,,,Bob,7,reject
3500.0,6500.0,"I'm not getting any younger, Alice. I need a bigger share to make this worth my while.",Bob,8,
,,"I'm not willing to give you the majority of the money, Bob. Let's keep negotiating.",Alice,8,reject
4800.0,5200.0,"I'm willing to give you a slightly larger share, Bob. Let's see if we can finally agree.",Alice,9,
,,,Bob,9,accept
