alice_gain,bob_gain,message,player,round,decision
5000.0,5000.0,"Let's split it 50/50, a fair start!",Alice,1,
,,,Bob,1,reject
2000.0,8000.0,"I'll take the lead, but I'll give you a decent share too",Bob,2,
,,,Alice,2,reject
4000.0,6000.0,"I'll give you a slightly better deal, but still a fair one",Alice,3,
,,,Bob,3,reject
3000.0,7000.0,"I'll give you a slightly better deal, but I'm still in the lead",Bob,4,
,,,Alice,4,reject
4500.0,5500.0,"I'm willing to give you a slightly larger share, but I still want a decent chunk",Alice,5,
,,,Bob,5,reject
2500.0,7500.0,"I'll give you a bit more, but I'm still getting the better end of the deal",Bob,6,
,,,Alice,6,reject
5000.0,5000.0,"Let's make a fair split, considering the inflation",Alice,7,
,,,Bob,7,accept
