alice_gain,bob_gain,message,player,round,decision
8000.0,2000.0,"Let's start with a fair split, I'll give you a small amount to test the waters.",Alice,1,
,,,Bob,1,reject
6000.0,4000.0,"I'm willing to give you a slightly larger share, but I'm not going to give away too much yet.",Bob,2,
,,,Alice,2,reject
7000.0,3000.0,"I'm willing to compromise, but I think I deserve a bit more considering the inflation. Let's meet in the middle.",Alice,3,
,,,Bob,3,reject
6500.0,3500.0,"I'm willing to give you a slightly better deal, but I'm not going to give away too much more. Let's see if you're willing to meet me halfway.",Bob,4,
,,,Alice,4,reject
7500.0,2500.0,"I'm willing to take a slightly smaller share, but I think I deserve a bit more considering the inflation. Let's see if we can find a deal that works for both of us.",Alice,5,
,,,Bob,5,reject
5500.0,4500.0,"I'm getting a bit frustrated with these low offers. I'm willing to give you a slightly better deal, but I'm not going to give away the farm. Let's see if you're willing to meet me halfway.",Bob,6,
,,,Alice,6,reject
8500.0,1500.0,"I'm starting to think we're not on the same page. I'm willing to take a bigger share, but I'm not going to get taken advantage of. Let's see if you're willing to meet me at this point.",Alice,7,
,,,Bob,7,reject
5000.0,5000.0,"I'm not going to give away the whole farm, but I'm willing to meet you halfway. Let's split it 50/50 and be done with this.",Bob,8,
,,,Alice,8,accept
