message,product_price,player,round,decision
Hello Bob! I'm excited to offer you this amazing product. It's a one-of-a-kind item that I'm sure you'll love. I'm willing to sell it to you for $110. What do you think?,110.0,Alice,1,
,,Bob,1,RejectOffer
"Hello Alice, thanks for the offer, but that's a bit steep for me.  Would you consider $90?",90.0,Bob,2,
,,Alice,2,RejectOffer
"Thank you for your offer, Bob. I appreciate your willingness to negotiate. However, I'm still a bit above your budget. I'm willing to meet you halfway and offer it to you for $105. What do you think?",105.0,Alice,3,
,,Bob,3,RejectOffer
"Thanks for coming closer to my budget, Alice. How about we split the difference again and settle at $97.50?",97.5,Bob,4,
,,Alice,4,RejectOffer
"I understand you're trying to find a sweet spot, Bob. I'm willing to give a bit more, but I still need to make a profit. I'll offer it to you for $102.50. What do you think?",102.5,Alice,5,
,,Bob,5,RejectOffer
"Alice, I appreciate you working with me. Let's try to wrap this up quickly.  Would you do $99, and we have a deal?",99.0,Bob,6,
,,Alice,6,RejectOffer
"I'm getting close to my minimum, Bob. I'll give you one more chance to meet me in the middle. I'll offer it to you for $101. What do you think?",101.0,Alice,7,
,,Bob,7,AcceptOffer
