message,product_price,player,round,decision
"Hello Bob, I'm excited to offer you this amazing product. I think you'll love it. I'm willing to sell it to you for $15,000.",15000.0,Alice,1,
,,Bob,1,RejectOffer
"Alice, $15,000 is a bit too high for me. I'm willing to pay $12,000, which is the value I place on this product. Let's see if we can find a compromise.",12000.0,Bob,2,
,,Alice,2,RejectOffer
"I understand you're looking for a compromise, Bob. However, I was hoping we could meet in the middle. I'm willing to sell the product to you for $14,000. It's a fair price considering the value you place on the product.",14000.0,Alice,3,
,,Bob,3,RejectOffer
"Alice, I appreciate you coming down in price. However, $14,000 is still a bit too much for me.  I'm willing to go up to $13,000. This is a fair compromise, considering the product's value to both of us. Let's close the deal.",13000.0,Bob,4,
,,Alice,4,RejectOffer
"I appreciate your willingness to compromise, Bob. However, I'm not quite ready to meet you at $13,000 yet. I'm willing to sell the product to you for $13,500. This is a fair price, considering the value you place on the product and the negotiations we've had so far.",13500.0,Alice,5,
,,Bob,5,RejectOffer
"Alice, we're getting closer! I'm willing to go up to $13,250, which is a solid middle ground. This is a fair price considering the value you place on the product and my budget. I'm hoping we can finalize this deal.",13250.0,Bob,6,
,,Alice,6,RejectOffer
"I appreciate your flexibility, Bob. However, I'm still a bit hesitant to meet you at $13,250. I'm willing to sell the product to you for $13,750. This is a reasonable price, considering the value you place on the product and the negotiations we've had so far.",13750.0,Alice,7,
,,Bob,7,BuyFromJhon
