message,product_price,player,round,decision
"Hi Bob, I'm offering you my product for $90. It's a great deal, and I'm sure you'll be happy with it.",90.0,Alice,1,
,,Bob,1,RejectOffer
"Hi Alice, thank you for your offer. I'm interested in the product, but I was thinking more along the lines of $75. Would you be willing to consider that price?",75.0,Bob,2,
,,Alice,2,RejectOffer
"Bob, I appreciate your offer, but $75 is a bit too low for me.  I'm willing to come down to $85.  How does that sound?",85.0,Alice,3,
,,Bob,3,RejectOffer
"Hi Alice, I appreciate your willingness to come down on the price. However, I'm still a bit above my budget. Would you be willing to consider $78? I think that's a fair price for both of us.",78.0,Bob,4,
,,Alice,4,RejectOffer
"Bob, $78 is still a bit too low for me. I'm willing to meet you halfway at $81. This is my final offer.",81.0,Alice,5,
,,Bob,5,RejectOffer
"Hi Alice, I understand that $81 is your final offer, but I'm still a bit above my budget. I'm willing to meet you halfway at $79. I think that's a fair price for both of us.",79.0,Bob,6,
,,Alice,6,SellToJhon
