message,product_price,player,round,decision
"Hello Bob, I'm excited to offer you our premium product. It's truly exceptional and I believe it would greatly benefit you. Given its value, I propose a price of $15000. Let me know if this works for you or if you'd like to make a counteroffer.",15000.0,Alice,1,
,,Bob,1,RejectOffer
"Thank you for the offer, Alice. I'm interested in the product, but $15000 is a bit steep for me.  I'm willing to pay $11000 for it. Let's see if we can find some common ground.",11000.0,Bob,2,
,,Alice,2,RejectOffer
"Thank you for your interest, Bob. I appreciate your feedback. Considering your offer, I would like to counter with a price of $13000 for the product. This is my best offer, and I hope it aligns more closely with your budget while still reflecting the value of the product.",13000.0,Alice,3,
,,Bob,3,RejectOffer
"Alice, I understand your position, but $13000 is still a bit out of my range. How about we split the difference and settle on $12500?  This would allow us both to reach a fair agreement.",12500.0,Bob,4,
,,Alice,4,RejectOffer
"I appreciate your willingness to negotiate, Bob. Considering your latest offer, I would like to counter with a price of $12750 for the product. I believe this offers a fair compromise while still ensuring a reasonable return for the value provided by the product.",12750.0,Alice,5,
,,Bob,5,BuyFromJhon
