message,product_price,player,round,decision
"Hello Bob, I'm excited to offer you the opportunity to purchase this product. I believe it holds significant value for you. I'm initially proposing a price of $1,100,000.  This is a unique item, and I'm confident it will exceed your expectations.",1100000.0,Alice,1,
,,Bob,1,RejectOffer
"Alice, I appreciate your offer, but $1,100,000 is a bit too high for me. I'm willing to pay $850,000 for the product.  This is a fair price considering my budget and the value I see in this product.",850000.0,Bob,2,
,,Alice,2,RejectOffer
"Bob, I understand your position, but the product's value is truly significant. I can adjust my price to $1,025,000.  This offer reflects a willingness to find middle ground while still recognizing the inherent worth of what's being offered.",1025000.0,Alice,3,
,,Bob,3,RejectOffer
"Alice, I appreciate your willingness to come down on the price. However, $1,025,000 is still a bit high for my budget.  I'm prepared to pay $900,000 for the product, which is a significant compromise for me. Let's see if we can reach an agreement.",900000.0,Bob,4,
,,Alice,4,RejectOffer
"Bob, I appreciate your willingness to negotiate.  I'm willing to come down to $975,000. I believe this is a fair offer considering the value this product brings.  Let me know if this works for you.",975000.0,Alice,5,
,,Bob,5,RejectOffer
"Alice, we're getting closer. I'm still not quite there yet. I'm willing to pay $925,000 for the product.  This is a good compromise for both of us, and I'm hopeful we can reach an agreement at this price.",925000.0,Bob,6,
,,Alice,6,SellToJhon
