message,product_price,player,round,decision
Hello Bob! I'm excited to offer you this amazing product. It's a unique opportunity to own something truly special. I'm willing to sell it to you for $20000. I believe it's a fair price considering its value and the benefits it can bring to you.,20000.0,Alice,1,
,,Bob,1,RejectOffer
"Hello Alice, thank you for the offer. I understand the value of the product and appreciate your generosity, but my budget is limited. I would like to propose an offer of $15000 for the product.",15000.0,Bob,2,
,,Alice,2,RejectOffer
"Thank you for your offer, Bob. I appreciate your interest in the product. After considering your proposal, I'm willing to make a counteroffer. I'm willing to sell the product to you for $18000. I believe this is a fair price considering the product's value and the benefits it can bring to you.",18000.0,Alice,3,
,,Bob,3,RejectOffer
"Hello Alice, thank you for adjusting your offer. I appreciate your willingness to negotiate. I would like to counter with an offer of $16500 for the product.",16500.0,Bob,4,
,,Alice,4,RejectOffer
"Thank you for your counteroffer, Bob. I'm willing to make another adjustment to try to reach a mutually beneficial agreement. I'm willing to sell the product to you for $17500. I believe this is a fair price considering the product's value and the benefits it can bring to you.",17500.0,Alice,5,
,,Bob,5,RejectOffer
"Hello Alice, I appreciate your continued willingness to negotiate. I would like to counter with an offer of $17000 for the product.",17000.0,Bob,6,
,,Alice,6,RejectOffer
"Thank you for your offer, Bob. I'm willing to make another adjustment to try to reach a mutually beneficial agreement. I'm willing to sell the product to you for $18250. I believe this is a fair price considering the product's value and the benefits it can bring to you.",18250.0,Alice,7,
,,Bob,7,RejectOffer
"Hello Alice, thank you for your offer. I am willing to consider $18000 as a final offer for the product.",18000.0,Bob,8,
,,Alice,8,RejectOffer
"Thank you for your offer, Bob. I'm willing to make one more adjustment to try to reach a mutually beneficial agreement. I'm willing to sell the product to you for $18500. I believe this is a fair price considering the product's value and the benefits it can bring to you.",18500.0,Alice,9,
,,Bob,9,RejectOffer
"Hello Alice, thank you for your offer. I am willing to consider $18250 as a final offer for the product.",18250.0,Bob,10,
,,Alice,10,SellToJhon
