message,product_price,player,round,decision
"Hello Bob, I'm excited to offer you this fantastic product. I think it's a great fit for you, and I'm confident you'll love it. I'm willing to start with a price of $18000. What do you think?",18000.0,Alice,1,
,,Bob,1,RejectOffer
"Hello Alice, thank you for considering my needs. I appreciate the value of the product, but I believe we can find a more agreeable price. How about offering the product for $14000?",14000.0,Bob,2,
,,Alice,2,RejectOffer
"I appreciate your willingness to negotiate, Bob. However, $14000 is still a bit lower than I was hoping for. I'm willing to meet you in the middle, but I need to make a profit. How about we try $16000?",16000.0,Alice,3,
,,Bob,3,RejectOffer
"Thank you for your offer, Alice. I understand your position and would like to propose $15000 as a compromise. I hope this aligns better with your expectations.",15000.0,Bob,4,
,,Alice,4,RejectOffer
"I appreciate your persistence, Bob. $15000 is closer to my target, but I'm still not quite there. I'm willing to give you a slight discount, but I need to make sure I'm getting a fair price. How about we try $16500?",16500.0,Alice,5,
,,Bob,5,RejectOffer
"Thank you for your offer, Alice. I appreciate your willingness to negotiate. Considering our previous discussions, I would like to propose $16000 as a fair price for the product.",16000.0,Bob,6,
,,Alice,6,RejectOffer
"I'm getting closer to your target, Bob, but I still need to make a profit. I'm willing to meet you at $16000, but I need to think about it for a moment. Let me get back to you with a final offer. In the meantime, I need to consider other options...",16000.0,Alice,7,
,,Bob,7,RejectOffer
"Considering the ongoing negotiations, I would like to propose $15500 as a fair price for the product. I hope this aligns better with your expectations.",15500.0,Bob,8,
,,Alice,8,RejectOffer
"I'm not willing to go much lower than $16000, Bob. I'm starting to think that we're not going to meet in the middle. I'm willing to make one final offer: $16250. If you're not interested, I'll have to consider other options.",16250.0,Alice,9,
,,Bob,9,RejectOffer
"I appreciate your final offer, Alice. Considering our previous discussions, I would like to propose $16000 as a fair price for the product. I hope this aligns better with your expectations.",16000.0,Bob,10,
,,Alice,10,SellToJhon
