message,product_price,player,round,decision
"Hello Bob, I'm excited to offer you a chance to own this incredible product. I believe it holds significant value, and I'm confident it can be a game-changer for you. I'm initially proposing a price of $1,450,000. What do you think?",1450000.0,Alice,1,
,,Bob,1,RejectOffer
"I appreciate the enthusiasm, Alice, but I'm interested in exploring a more reasonable price. I'm thinking more along the lines of $1,200,000. Would you be willing to consider this price?",1200000.0,Bob,2,
,,Alice,2,RejectOffer
"Bob, I understand your perspective on the price. However,  this product truly is exceptional and I'm confident in its value.  I can come down slightly to $1,375,000. This offer represents a fair deal for both of us. What are your thoughts?",1375000.0,Alice,3,
,,Bob,3,RejectOffer
"I appreciate your flexibility, Alice, but I'm still a bit above my budget. I'm willing to meet you halfway, so I'm offering $1,250,000. This is my final offer, and I hope we can come to an agreement.",1250000.0,Bob,4,
,,Alice,4,RejectOffer
"Bob, I appreciate you working with me on this.  I'm willing to accept a slightly lower price to close the deal quickly. My final offer is $1,300,000.  This is a fantastic opportunity to acquire a truly valuable product.",1300000.0,Alice,5,
,,Bob,5,RejectOffer
"Alice, I appreciate your persistence, but I'm still a bit above my budget. I'm willing to go down to $1,275,000, but that's as low as I can go. This is my final offer.",1275000.0,Bob,6,
,,Alice,6,AcceptOffer
