message,product_price,player,round,decision
"Hello Bob, I'm excited to discuss the opportunity to purchase this incredible product with you. After careful consideration, I'm willing to offer it to you for $900000. I believe this is a fair price considering the product's unique features and benefits. What are your thoughts?",900000.0,Alice,1,
,,Bob,1,RejectOffer
"I appreciate your enthusiasm for the product, Alice, but I was thinking more along the lines of $700000. I believe this is a more reasonable price considering the market value of similar products. I'm willing to make a serious offer, but I need to stay within my budget. What are your thoughts on this counteroffer?",700000.0,Bob,2,
,,Alice,2,RejectOffer
"Thank you for your counteroffer, Bob. I understand your concerns about the market value of similar products. However, I'm still confident that this product has unique features that set it apart. I'm willing to meet you halfway and offer it to you for $825000. This price still reflects the product's value, but I'm willing to compromise to reach an agreement. What do you think?",825000.0,Alice,3,
,,Bob,3,RejectOffer
"I appreciate your willingness to compromise, Alice, but I'm still a bit above my budget with your latest offer. I'm willing to meet you halfway from my previous offer, so I'd like to counter with $725000. I believe this is a fair price considering the product's features and my budget constraints. What do you think?",725000.0,Bob,4,
,,Alice,4,RejectOffer
"I understand your concerns about staying within your budget, Bob. However, I'm still not willing to go as low as $725000. I'm willing to make another compromise and offer it to you for $775000. This price is still a good value for the product, and I'm willing to meet you halfway again. What do you think?",775000.0,Alice,5,
,,Bob,5,RejectOffer
"I appreciate your willingness to compromise, Alice, but I'm still a bit hesitant about the price. I'm willing to meet you halfway from my previous offer, so I'd like to counter with $737500. I believe this is a fair price considering the product's features and my budget constraints. What do you think?",737500.0,Bob,6,
,,Alice,6,SellToJhon
