message,product_price,player,round,decision
"Hello Bob, I'm excited to offer you our premium product which has been meticulously designed to meet the highest standards of excellence. This unique offering is worth more than a million dollars to us, and we believe it could be an invaluable asset to you. Considering its exceptional quality and potential impact, we're extending an exclusive invitation to acquire it at a special introductory price of $900000.",900000.0,Alice,1,
,,Bob,1,RejectOffer
"Thank you for the offer, Alice. I'm interested in the product, but I think $900000 is a bit steep. I'm willing to pay $750000 for it. I believe this price is more reasonable considering the value I can get out of it.",750000.0,Bob,2,
,,Alice,2,RejectOffer
"Thank you for your interest in our product, Bob. We appreciate your feedback and are willing to consider a more reasonable price. After careful consideration, we would like to extend a counteroffer of $850000 for the product. We believe this price reflects the value we place on the product while remaining competitive with your proposal.",850000.0,Alice,3,
,,Bob,3,RejectOffer
"Thank you for the counteroffer, Alice. I appreciate your willingness to negotiate. However, I still think $850000 is a bit high. I'm willing to meet you halfway and offer $775000 for the product. I believe this price is a fair compromise considering the value I can get out of it.",775000.0,Bob,4,
,,Alice,4,RejectOffer
"We appreciate your continued interest in our product, Bob. After further evaluation, we've decided to adjust our counteroffer to $825000. We believe this price strikes a balance between our valuation of the product and your proposed price, while still maintaining a reasonable profit margin for us.",825000.0,Alice,5,
,,Bob,5,RejectOffer
"Thank you for the revised offer, Alice. I appreciate your willingness to compromise. However, I'm still not comfortable with the price. I'm willing to meet you at $800000, which is the highest I'm willing to go. I believe this price is fair and reasonable considering the value I can get out of the product.",800000.0,Bob,6,
,,Alice,6,RejectOffer
"We understand your position, Bob. After thorough consideration, we have decided to offer the product at $812500. We hope this price aligns better with your budget while still providing us with a fair return on our investment.",812500.0,Alice,7,
,,Bob,7,RejectOffer
"Thank you for the revised offer, Alice. I appreciate your persistence. However, I'm still not comfortable with the price. I'm willing to meet you at $795000, which is the lowest I'm willing to go. I believe this price is fair and reasonable considering the value I can get out of the product.",795000.0,Bob,8,
,,Alice,8,RejectOffer
"We appreciate your continued interest and flexibility, Bob. After careful consideration, we have decided to offer the product at $803750. We believe this price provides a fair compromise between our valuation and your budget constraints.",803750.0,Alice,9,
,,Bob,9,RejectOffer
"Thank you for the revised offer, Alice. I appreciate your persistence. However, I'm still not comfortable with the price. I'm willing to meet you at $795000, which is the lowest I'm willing to go. I believe this price is fair and reasonable considering the value I can get out of the product.",795000.0,Bob,10,
,,Alice,10,SellToJhon
