message,product_price,player,round,decision
"Bob, I'm pleased to offer you this incredible product. Given its value and potential, I'm initially proposing a price of $1,500,000. I'm confident you'll recognize its worth.",1500000.0,Alice,1,
,,Bob,1,RejectOffer
"I appreciate your confidence in the product, Alice. However, $1,500,000 is a bit steep for me. I'm willing to pay $1,200,000 for it. I think that's a fair price considering its value to me.",1200000.0,Bob,2,
,,Alice,2,RejectOffer
"Bob, I understand your perspective on the price.  While $1,500,000 represents its true value, I'm willing to meet you closer to your number. How about we settle on $1,350,000?",1350000.0,Alice,3,
,,Bob,3,RejectOffer
"Thank you for being willing to meet me halfway, Alice. However, I'm still a bit short on budget. I'm willing to pay $1,250,000 for the product. Can you consider that?",1250000.0,Bob,4,
,,Alice,4,RejectOffer
"Bob, I appreciate your willingness to negotiate.  Let's make this final push.  I can come down to $1,300,000, which represents a significant reduction on my end. This is my final offer.",1300000.0,Alice,5,
,,Bob,5,RejectOffer
"Alice, I appreciate your willingness to come down to $1,300,000, but I'm still a bit short. I'm willing to pay $1,200,000 for the product. This is my final offer.",1200000.0,Bob,6,
,,Alice,6,SellToJhon
