message,product_price,player,round,decision
"Hi Bob, I'm excited to discuss the product with you. I think it's a great fit for you, and I'm happy to offer it to you for $9,500.",9500.0,Alice,1,
,,Bob,1,RejectOffer
"Hi Alice, thanks for the offer!  I'm interested in the product, but $9,500 is a bit high for me. Would you consider $8,000?",8000.0,Bob,2,
,,Alice,2,RejectOffer
"Hi Bob, thanks for your offer, but I'm not willing to go as low as $8,000. However, I'm willing to meet you halfway. I can offer it to you for $9,000. It's a great deal, and I think you'll really love the product.",9000.0,Alice,3,
,,Bob,3,RejectOffer
"Hi Alice, I appreciate you meeting me a little bit. How about $8,500?",8500.0,Bob,4,
,,Alice,4,RejectOffer
"Hi Bob, I'm not willing to go up to $8,500, but I'm willing to make a slight adjustment. I can offer it to you for $9,200. It's a fair price, and I think you'll really benefit from this product.",9200.0,Alice,5,
,,Bob,5,RejectOffer
"Alice, this is getting a little too drawn out for me. I'm willing to pay $8,700 for it, but that's my final offer.  Take it or leave it.",8700.0,Bob,6,
,,Alice,6,RejectOffer
"Hi Bob, I understand that you're willing to pay $8,700, but I'm not willing to sell it to you at that price. However, I'm willing to meet you halfway between our last two offers. I can offer it to you for $9,100. It's a fair compromise, and I think you'll really appreciate the product.",9100.0,Alice,7,
,,Bob,7,AcceptOffer
