message,product_price,player,round,decision
"Bob, I'm offering you my product for $1,000,000. It's a great deal for you, considering its value to you is $800,000.  Let's make this happen!",1000000.0,Alice,1,
,,Bob,1,RejectOffer
"I appreciate your offer, but I was thinking more along the lines of $850,000. Would you be willing to meet me at that price?",850000.0,Bob,2,
,,Alice,2,RejectOffer
"Bob, I understand you're looking for a good deal, and I'm willing to work with you. However, $850,000 is simply too low for me.  Let's meet in the middle. I'm willing to come down to $950,000.  This gives you a good price and me a fair return on my investment.",950000.0,Alice,3,
,,Bob,3,RejectOffer
"I appreciate your willingness to meet me in the middle, but I was thinking more along the lines of $920,000. Would you be willing to consider this price?",920000.0,Bob,4,
,,Alice,4,RejectOffer
"Bob, I appreciate your continued interest and your willingness to negotiate. However, I still need to ensure I receive a fair return on my investment.  I'm willing to go down to $975,000. This is my final offer, and I'm confident it's a good deal for both of us.",975000.0,Alice,5,
,,Bob,5,RejectOffer
"I appreciate your persistence, but I'm still a bit far from my target price. Would you be willing to consider $915,000?",915000.0,Bob,6,
,,Alice,6,SellToJhon
