message,product_price,player,round,decision
"Bob, I'm offering you my product for $900000. It's a fantastic deal considering its value to you. Let me know what you think!",900000.0,Alice,1,
,,Bob,1,RejectOffer
"Alice, while I appreciate your offer, I'm looking to spend closer to $800000 for this product.  Let's see if we can find some common ground.  I'm offering you $850000 for it.",850000.0,Bob,2,
,,Alice,2,RejectOffer
"Bob, I appreciate your offer, but I'm not quite there yet. I'm willing to come down to $875000. This price reflects the value of the product for both of us.  Let's close this deal!",875000.0,Alice,3,
,,Bob,3,RejectOffer
"Alice, I'm still looking for a price closer to $800000. I'm willing to go up to $825000 for this product. Let's try to work something out.",825000.0,Bob,4,
,,Alice,4,RejectOffer
"Bob, I understand your perspective, but I can't go any lower than $850000.  It's a fair price considering the value of the product to you.  Let's meet in the middle and finalize this deal.",850000.0,Alice,5,
,,Bob,5,BuyFromJhon
