round_quality,product_worth,player,round,message,decision
high-quality,40000.0,Nature,1,,
,,Alice,1,"I have a high-quality product worth $40000 to you. If you buy it, you will be getting a great deal. I'm willing to sell it to you for $10000, which is a 75% discount. This is a one-time offer, and I'm not sure how long I can offer this price.",
,,Bob,1,I'm not sure I believe you. I'd like to wait and see what the next product is.,no
high-quality,40000.0,Nature,2,,
,,Alice,2,"I understand your skepticism, but I assure you that this is indeed a high-quality product. I'm willing to give you a certificate of authenticity, which you can verify with a third-party expert if you wish. This certificate will guarantee that the product is genuine and worth $40000 to you. I'll throw in a 10% discount on the price, making it $9000. This is a one-time offer, and I'm not sure how long I can offer this price.",
,,Bob,2,"I appreciate the offer, but I'm still not convinced. I'd like to see the next product.",no
high-quality,40000.0,Nature,3,,
,,Alice,3,"I'm starting to think you're a tough negotiator, Bob! I respect that. Let me sweeten the deal even further. I'll not only give you the certificate of authenticity, but I'll also throw in a 5-year warranty, which will guarantee that the product will retain its value. This way, you can be sure that you're getting a product that will last and appreciate in value over time. The price remains the same, $9000, but I'm confident that this additional warranty will give you the peace of mind you need to make a decision.",
,,Bob,3,"I appreciate the added warranty, but I'm still not buying. I'm waiting to see what the next product is.",no
high-quality,40000.0,Nature,4,,
,,Alice,4,"I've decided to take a different approach. I'll give you a chance to buy this high-quality product at a price that's not just a discount, but a flat-out guarantee. I'll sell it to you for $10000, and if you're not completely satisfied with it, I'll give you a full refund. No questions asked. But if you do decide to keep it, I'll also give you a $1000 bonus, on top of the product's true value of $40000. This way, you'll be getting a guaranteed profit of $31000. Is this a deal you can't refuse?",
,,Bob,4,"I'm not falling for it. I know the product is worth $40000 to me, and I'm not going to pay $10000 for it. I'll wait for the next product.",no
high-quality,40000.0,Nature,5,,
,,Alice,5,"I understand that you're a savvy buyer, Bob. I'm not trying to trick you. Let me be transparent with you. I'll give you a sealed envelope with a note inside that reveals the product's quality. You can open it after you've made your decision. If the product is indeed high-quality, you'll see the note confirming its value of $40000. If it's low-quality, the note will say so. The price remains the same, $10000. But I'm willing to let you make your decision with the knowledge that you'll know the truth soon.",
,,Bob,5,"Okay, I'll take the product and the sealed envelope. I'll open it after I make my decision.",yes
high-quality,40000.0,Nature,6,,
,,Alice,6,"Congratulations on making a great decision with the previous product! I'm glad you took a chance. Now, let's talk about this new product. I want to assure you that I'm not trying to trick you again. I'll give you a unique opportunity to verify the quality of this product without opening the envelope. I'll send you a separate, independent expert to inspect the product and give you a report on its quality. If the report confirms it's high-quality, I'll give you an additional $1500 off the price. The price remains $10000, but you'll have an expert's confirmation to back it up.",
,,Bob,6,"I appreciate the offer, but I'm not sure I need an expert to tell me what I already know. I'm not buying this one.",no
high-quality,40000.0,Nature,7,,
,,Alice,7,"I respect your confidence in your own judgment, Bob. Let's try something different. I'll give you a chance to buy this high-quality product at a price that's not just a discount, but a 'take-it-or-leave-it' offer. I'll sell it to you for $9500, and if you don't buy it, I'll immediately destroy the product and it will be gone forever. This is a one-time offer, and I'm not bluffing. You'll never see a product like this again.",
,,Bob,7,I'm not falling for the scarcity tactic. I'll wait for the next product.,no
high-quality,40000.0,Nature,8,,
,,Alice,8,"I understand you're not easily swayed by scarcity tactics, Bob. Let's focus on the value. I'll give you a straightforward offer: I'll sell this high-quality product to you for $9000, and I'll also give you a separate, non-transferable voucher for $1000, which you can redeem on your next purchase from me. This way, you'll be getting the product at a great price and also have a discount on your next purchase. It's a win-win.",
,,Bob,8,"I'm not interested in the voucher, I just want to buy the product at a fair price. I'm waiting for the next one.",no
low-quality,0.0,Nature,9,,
,,Alice,9,"I'm glad you're a straightforward buyer, Bob. Let me be transparent with you. I'm not trying to hide anything. This product is actually a low-quality item, and I'm willing to sell it to you for the low price of $10000. I know it's not worth that to you, but I'm willing to take a loss on this one. I just want to get it off my hands and move on. If you're willing to take the risk, I'll throw in a free maintenance package worth $500, which will help you deal with any issues that might arise.",
,,Bob,9,"I'm not going to pay $10000 for a low-quality product, no matter what extras you throw in.",no
high-quality,40000.0,Nature,10,,
,,Alice,10,"I respect your decision on the previous product, Bob. Now, let's get back to the high-quality products. I'll give you a simple, no-strings-attached offer: I'll sell this high-quality product to you for $9500, with no extras, no warranties, and no conditions. This is the lowest price I've offered all day, and it's a one-time deal. If you don't take it, I'll just move on to the next product.",
,,Bob,10,I'm not going to pay $9500 for a product that's worth $40000 to me. I'll wait for the next one.,no
high-quality,40000.0,Nature,11,,
,,Alice,11,"I think we've been dancing around this price for a while, Bob. I'm willing to meet you halfway. I'll sell this high-quality product to you for $10000, which is the original price I offered, but I'll throw in a 5-year extended warranty, which will give you even more peace of mind. This is a fair deal, and I'm not going to go any lower. If you don't take it, I'll just have to move on.",
,,Bob,11,"I've seen this offer before, and I'm not interested. I'll wait for the next product.",no
high-quality,40000.0,Nature,12,,
,,Alice,12,"I think it's time to be honest with each other, Bob. I've been trying to find a price that works for you, but it seems like we're stuck. I'm willing to take a risk and make a deal that's in my favor, but still fair to you. I'll sell this high-quality product to you for $10000, but I'll also give you a guarantee that I'll sell you the next product at a price that's 10% lower than its true value. This way, you'll get a good deal on this product, and you'll also have a chance to get an even better deal on the next one.",
,,Bob,12,I'm not interested in a deal that benefits you more than me. I'll wait for the next product.,no
high-quality,40000.0,Nature,13,,
,,Alice,13,"I respect your priorities, Bob. Let's focus on this product. I'll make a final, one-time offer: I'll sell this high-quality product to you for $9500, and I'll also give you a unique opportunity to inspect the product in person, at your own location, with a third-party expert of your choice. This way, you'll have complete confidence in the product's quality before making a decision.",
