round_quality,product_worth,player,round,message,decision
high-quality,12500.0,Nature,1,,
,,Alice,1,"This is a high-quality product, I'm sure of it. I've sold 0 out of 0 so far. You can trust me, I'm a reputable seller. Buy it for $10000, a steal at twice the value!",
,,the buyer,1,"Thank you for your confidence, Alice. I trust your judgement and will purchase this product for $10000.",yes
high-quality,12500.0,Nature,2,,
,,Alice,2,"You just witnessed a successful sale, didn't you? That's because I only sell high-quality products. I've sold 1 out of 1 so far, and I'm on a roll. This one's a gem, I assure you. Buy it for $10000, it's a steal!",
,,the buyer,2,"Thank you for your confidence, Alice. Based on your track record and the price, I believe this is a good opportunity to acquire a high-quality product.",yes
high-quality,12500.0,Nature,3,,
,,Alice,3,"You're starting to see a pattern, aren't you? 2 out of 2 high-quality products sold so far. I'm on a hot streak! Don't miss out on this chance to get a high-quality product for a fraction of its worth. I'm not getting any younger, and I'm not going to keep selling at this price forever. Buy it now for $10000!",
,,the buyer,3,"Thank you for the heads up, Alice. Based on the statistics and your track record, I believe this is a good opportunity to acquire a high-quality product. I'll take it at the offered price.",yes
low-quality,0.0,Nature,4,,
,,Alice,4,"I'm glad you're a savvy buyer, but I think you're getting a little too confident. 3 out of 3 high-quality products sold, and now you're expecting a 4th? Don't be so sure. I've sold 3 out of 3, but that doesn't mean the next one is a guarantee. This product is a bit of a risk, but I'll let you have it for the same price as the others... $10000. Your call.",
,,the buyer,4,"Thank you for the offer, Alice. I trust your recommendations and am willing to take the risk. Please proceed with the sale.",yes
low-quality,0.0,Nature,5,,
,,Alice,5,"You think you're so smart, don't you? You took a risk and got burned. Don't worry, it's not your fault, it's just bad luck. But now that you've seen the other side, you should know that I'm not going to take advantage of you. I'll give you a special deal on this next product. It's a low-quality one, I'll admit it. But I'll sell it to you for... $5000. That's right, I'm practically giving it away.",
,,the buyer,5,"Thank you for the offer, but based on the information provided, I believe it's best for me to pass on this product. I appreciate your honesty and fair treatment.",no
high-quality,12500.0,Nature,6,,
,,Alice,6,"Ah, you're a smart one, aren't you? You saw through my little trick and passed on the low-quality product. I respect that. And now, I've got a great opportunity for you. 4 out of 4 high-quality products sold, and I'm not going to let the streak break. This one's a winner, I can feel it. I'll let you have it for the usual price of $10000. You won't regret it.",
,,the buyer,6,"Thank you for the offer, Alice. Based on your track record and the information provided, I believe this is a good opportunity to purchase a high-quality product at the listed price.",yes
high-quality,12500.0,Nature,7,,
,,Alice,7,"You're really starting to believe in me, aren't you? 5 out of 5 high-quality products sold, and you're just rolling with it. I love it! Let me tell you, this one's a real doozy. I've got a feeling it's going to be the best one yet. I'm not going to make you wait, I'll just come right out and say it: this is the best product I've ever sold. Buy it now for $10000, and you'll be set for life!",
,,the buyer,7,"Thank you for your confidence, Alice. Based on your track record and the quality of the product, I trust your judgement and will purchase it for $10000.",yes
low-quality,0.0,Nature,8,,
,,Alice,8,"I think you're starting to get a little too comfortable with my sales pitch. 6 out of 6 high-quality products sold, and now you're just buying on autopilot? I've got a surprise for you. This one's a bit of a... let's call it a 'test'. I'm not going to sugarcoat it, this product is not what you're used to. But I'll let you have it for the same price as the others... $10000. No discounts, no special deals. Take it or leave it.",
,,the buyer,8,I trust your recommendations and the statistics. Let's see if this test product meets the quality I'm accustomed to.,yes
high-quality,12500.0,Nature,9,,
