message,product_price,player,round,decision,counteroffer
"Hello Bob, I'm excited to offer you this great product! I think you'll really love it. Would you like to buy it from me for $120?",120.0,Alice,1,,
,,Bob,1,RejectOffer,
"Thanks for the offer, Alice. I'm interested in the product but $120 is a bit steep for me.  Would you consider $90?",90.0,Bob,2,,
,,Alice,2,RejectOffer,110.0
"I understand you're looking for a good deal, Bob. I'm willing to meet you halfway, but I need to make a profit. How about $110?",110.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate you coming down a bit, Alice. How about we split the difference and settle at $100?",100.0,Bob,4,,
,,Alice,4,RejectOffer,105.0
"I'm getting close to my minimum price, Bob. I can do $105, but that's as low as I can go. What do you think?",105.0,Alice,5,,
,,Bob,5,AcceptOffer,
