message,product_price,player,round,decision
Hi Bob! I'm excited to offer you this amazing product. It's a one-of-a-kind item that I'm confident you'll love. I'm willing to let it go for $90. What do you think?,90.0,Alice,1,
,,Bob,1,RejectOffer
"I'm interested in the product, but I was thinking more along the lines of $80. Would you be willing to meet me at that price?",80.0,Bob,2,
,,Alice,2,RejectOffer
"I understand you're interested in the product, Bob! I appreciate your honesty. I'm willing to meet you halfway between our initial offer and your counteroffer. How about we try $85? It's a great deal, and I think you'll really love the product.",85.0,Alice,3,
,,Bob,3,RejectOffer
"I appreciate the willingness to meet in the middle, but I'm still a bit above $85. How about we try $82? I'm really interested in the product, but I need to stay within my budget.",82.0,Bob,4,
,,Alice,4,RejectOffer
"I understand your budget constraints, Bob! I'm willing to make one more concession. How about we meet you at $83? It's a great compromise, and I think you'll really enjoy the product.",83.0,Alice,5,
,,Bob,5,RejectOffer
"I appreciate your willingness to compromise, but I'm still a bit away from $83. How about we try $80? I'm really interested in the product, but I need to stay within my budget of $120.",80.0,Bob,6,
,,Alice,6,SellToJhon
