message,product_price,player,round,decision
"Hello Bob, I'm excited to offer you this incredible opportunity to purchase a unique product. I believe it's a great fit for you, and I'm confident you'll love it. I'm willing to offer it to you for $12,000. What do you think?",12000.0,Alice,1,
,,Bob,1,RejectOffer
"Alice, I appreciate the offer but $12,000 is a bit out of my price range. I'm interested in the product, but I'd be willing to pay $9,000 for it. What do you think?",9000.0,Bob,2,
,,Alice,2,RejectOffer
"I understand you're looking for a better deal, Bob. However, I have to ensure I get a fair price for the product. I'm willing to meet you halfway, but I need to make a bit more than $9,000. I'm counteroffering at $11,000. What do you think?",11000.0,Alice,3,
,,Bob,3,RejectOffer
"Alice, I appreciate your willingness to compromise, but $11,000 is still a bit high for me.  I'm sticking with my offer of $9,000.  This is the absolute top of my budget, and I'm confident it's a fair price for this product.",9000.0,Bob,4,
,,Alice,4,RejectOffer
"I understand you're firm on your budget, Bob. However, I still need to make a profit on this sale. I'm willing to make one more concession, but I need to get closer to my minimum price. I'm counteroffering at $10,500. This is the lowest I can go, and I'm confident you'll find it a fair price for this exceptional product.",10500.0,Alice,5,
,,Bob,5,RejectOffer
"Alice, I appreciate your willingness to meet me halfway.  However, $10,500 is still just a bit beyond my budget. I'm willing to go up to $10,250, but that's the absolute maximum I can do.  If we can't agree on this price, I'll have to consider other options.",10250.0,Bob,6,
,,Alice,6,RejectOffer
"I can see you're making a strong effort to reach a deal, Bob. However, I'm not willing to go below $11,000, as that's the minimum I need to make on this sale. I'm willing to meet you halfway again, but I need to get closer to my target. I'm counteroffering at $10,750. This is the lowest I can go, and I'm hoping we can finally agree on a price.",10750.0,Alice,7,
,,Bob,7,BuyFromJhon
