message,product_price,player,round,decision
"Hi Bob, I'm offering this product to you for $20,000. I believe it holds significant value that will benefit you greatly.",20000.0,Alice,1,
,,Bob,1,RejectOffer
"Hi Alice, thanks for the offer but $20,000 is way too high for me. I'm interested in the product, but I can only go as high as $10,000.",10000.0,Bob,2,
,,Alice,2,RejectOffer
"Hi Bob, I appreciate your interest. While I understand your offer, the product's value is considerably higher. How about we meet in the middle at $17,000?",17000.0,Alice,3,
,,Bob,3,RejectOffer
"Hi Alice, $17,000 is still too much for my budget. Could we settle somewhere around $11,000?",11000.0,Bob,4,
,,Alice,4,RejectOffer
"Bob, thanks for your continued interest.  I'm willing to come down a bit more, but $11,000 is too low for me.  Would you consider $14,000?",14000.0,Alice,5,
,,Bob,5,BuyFromJhon
