message,product_price,player,round,decision
"Hello Bob, I'm excited to offer you this unique product. I believe it's a great opportunity for you to own something valuable. I'm willing to sell it to you for $12,000. What do you think?",12000.0,Alice,1,
,,Bob,1,RejectOffer
"Alice, I appreciate your offer, but $12,000 is a bit more than I'm willing to spend.  I'm interested in the product, but I'm only able to pay $8,500.  Let me know what you think.",8500.0,Bob,2,
,,Alice,2,RejectOffer
"I understand your budget constraints, Bob. However, I have to make a profit on this sale. I'm willing to meet you halfway, but I need to get at least $11,000 for the product. Can we discuss further?",11000.0,Alice,3,
,,Bob,3,RejectOffer
"Alice, I appreciate your willingness to negotiate.  $11,000 is still a bit high for me.  I'm willing to go up to $9,500, which is a fair compromise.  Let's try to reach an agreement.",9500.0,Bob,4,
,,Alice,4,RejectOffer
"I appreciate your willingness to compromise, Bob. However, I'm still not comfortable with $9,500. I'm willing to meet you at $10,000, which is the minimum I can accept. It's a fair price considering the product's value to you. What do you think?",10000.0,Alice,5,
,,Bob,5,BuyFromJhon
