message,product_price,player,round,decision
"Bob, I'm offering you my product for $1,400,000.  It's a great deal for both of us, and I'm confident you'll find it to be a valuable asset. What do you think?",1400000.0,Alice,1,
,,Bob,1,RejectOffer
"Thank you for your offer, Alice. I appreciate your willingness to negotiate. I would like to counter with an offer of $1,300,000 for the product.",1300000.0,Bob,2,
,,Alice,2,RejectOffer
"Bob, I appreciate your counteroffer. I'm willing to come down a bit more, but $1,300,000 is still a bit too low for me.  I'm offering $1,350,000.  Let's see if we can find a middle ground.",1350000.0,Alice,3,
,,Bob,3,RejectOffer
"I understand your position, Alice. Considering our previous discussions, I would like to propose an offer of $1,325,000 for the product.",1325000.0,Bob,4,
,,Alice,4,RejectOffer
"Bob, I'm sticking with my previous offer of $1,350,000. This is a fair price for both of us, and I'm confident we can reach an agreement.  Let's close this deal!",1350000.0,Alice,5,
,,Bob,5,RejectOffer
"Considering our previous negotiations, I would like to propose an offer of $1,337,500 for the product.",1337500.0,Bob,6,
,,Alice,6,SellToJhon
