message,product_price,player,round,decision
"Hi Bob, I'm pleased to offer you this excellent product. I believe it would be highly beneficial for you. Given its value, I'm offering it at $11,000.",11000.0,Alice,1,
,,Bob,1,RejectOffer
"I appreciate your offer, Alice, but I was thinking more along the lines of $9,500. I believe that's a fair price considering the product's value and my budget.",9500.0,Bob,2,
,,Alice,2,RejectOffer
"Bob, I understand your position, but $9,500 is significantly below what I'm willing to accept. Let's meet halfway – how about $10,250?",10250.0,Alice,3,
,,Bob,3,RejectOffer
"I appreciate your willingness to meet halfway, Alice, but I'm still a bit above my budget. How about we try $9,800? I'm willing to compromise, but I need to stay within my means.",9800.0,Bob,4,
,,Alice,4,RejectOffer
"Bob, I appreciate your willingness to negotiate.  While I am aiming for a higher price, I'm willing to come down to $10,000.  This is my final offer.",10000.0,Alice,5,
,,Bob,5,RejectOffer
"I appreciate your final offer, Alice, but I'm still a bit above my budget. I'm willing to meet you halfway again and offer $9,500. This is my final counteroffer.",9500.0,Bob,6,
,,Alice,6,AcceptOffer
