message,product_price,player,round,decision
"Hi Bob, I'm offering you my product for $14,000.  It's a great deal for both of us.  Let me know what you think!",14000.0,Alice,1,
,,Bob,1,RejectOffer
"Hi Alice, thanks for the offer, but that's a bit high for me.  How about $11,000?",11000.0,Bob,2,
,,Alice,2,RejectOffer
"Bob, I appreciate your offer but $11,000 is too far below what I need to make this work.  Let's split the difference - how about $12,500?  It's still a great deal for you, and I'd be happy to close the deal.",12500.0,Alice,3,
,,Bob,3,RejectOffer
"Alice, I appreciate you working with me. I could meet you halfway between our last offers.  Would you consider $11,750?",11750.0,Bob,4,
,,Alice,4,RejectOffer
"Bob, I understand we're close.  How about we split the difference one more time?  $12,125. This is a fair price for both of us. Let me know what you think.",12125.0,Alice,5,
,,Bob,5,RejectOffer
"Alice, this is a fair deal, but I'm on a tight budget.  How about we settle at $11,900 and close the deal?",11900.0,Bob,6,
,,Alice,6,SellToJhon
