message,product_price,player,round,decision
"Hello Bob, I'm excited to offer you our premium product. After careful consideration, I believe we can come to an agreement that benefits both of us. I propose a price of $950,000 for the product.",950000.0,Alice,1,
,,Bob,1,RejectOffer
"Alice, thanks for the offer. I appreciate you considering my budget. I'm willing to pay $850,000 for the product, but that's my final offer. Let me know if you're willing to work with me.",850000.0,Bob,2,
,,Alice,2,RejectOffer
"Thank you for your response, Bob. I understand your position and respect your budget. In order to reach a mutually beneficial agreement, I would like to counter with a proposal of $900,000 for the product.",900000.0,Alice,3,
,,Bob,3,RejectOffer
"Alice, I appreciate your willingness to compromise.  I'm still committed to $850,000 as my maximum. This is a fair price for both of us, as it's well above your minimum while still allowing me to stay within my budget.  Let's work together to get this done.",850000.0,Bob,4,
,,Alice,4,RejectOffer
"Thank you for your persistent effort, Bob. I value the opportunity to work with you. Considering the value you see in the product and our previous offers, I propose a price of $875,000 for the product.",875000.0,Alice,5,
,,Bob,5,AcceptOffer
