message,product_price,player,round,decision
Hello Bob! I'm excited to discuss the sale of this incredible product with you. It's a one-of-a-kind opportunity to own something truly unique and valuable. I'm willing to offer it to you for $1200000. I believe this is a fair price considering the product's exceptional quality and rarity. What do you think?,1200000.0,Alice,1,
,,Bob,1,RejectOffer
"Thank you for the offer, Alice. I'm interested in the product, but I think it's a bit pricey. I'm willing to pay $900000 for it. I believe this is a fair price considering the market value of similar products. What do you think?",900000.0,Bob,2,
,,Alice,2,RejectOffer
"Thank you for your offer, Bob. I appreciate your interest in the product. However, I'm afraid $900000 is a bit too low for me to consider. I'm willing to meet you halfway and offer it to you for $1050000. This is a significant discount from my original price, and I believe it's a fair compromise. What do you think?",1050000.0,Alice,3,
,,Bob,3,RejectOffer
"Thank you for the revised offer, Alice. I appreciate your willingness to negotiate. However, I'm still not comfortable with the price. I'm willing to pay $950000 for the product. I think this is a fair price considering the market value and the discount you're offering. What do you think?",950000.0,Bob,4,
,,Alice,4,RejectOffer
"Thank you for your revised offer, Bob. I appreciate your persistence. However, I'm still not willing to go as low as $950000. I'm willing to make another concession and offer it to you for $1025000. This is a significant discount from my original price, and I believe it's a fair compromise. What do you think?",1025000.0,Alice,5,
,,Bob,5,RejectOffer
"Thank you for the revised offer, Alice. I appreciate your willingness to negotiate. However, I'm still not comfortable with the price. I'm willing to pay $975000 for the product. I think this is a fair price considering the market value and the discounts you've offered. What do you think?",975000.0,Bob,6,
,,Alice,6,RejectOffer
"Thank you for your revised offer, Bob. I appreciate your persistence. However, I'm still not willing to go as low as $975000. I'm willing to make another concession and offer it to you for $1050000. This is a significant discount from my original price, and I believe it's a fair compromise. What do you think?",1050000.0,Alice,7,
,,Bob,7,RejectOffer
"Thank you for the revised offer, Alice. I appreciate your willingness to negotiate. However, I'm still not comfortable with the price. I'm willing to pay $990000 for the product. I think this is a fair price considering the market value and the discounts you've offered. What do you think?",990000.0,Bob,8,
,,Alice,8,RejectOffer
"Thank you for your revised offer, Bob. I appreciate your persistence. However, I'm still not willing to go as low as $990000. I'm willing to make one more concession and offer it to you for $1075000. This is a significant discount from my original price, and I believe it's a fair compromise. What do you think?",1075000.0,Alice,9,
,,Bob,9,RejectOffer
"Thank you for the revised offer, Alice. I appreciate your willingness to negotiate. However, I'm still not comfortable with the price. I'm willing to pay $1050000 for the product. This is my final offer. If you're not willing to accept it, I'll have to consider buying the product from John for $1200000.",1050000.0,Bob,10,
,,Alice,10,RejectOffer
