message,product_price,player,round,decision
"Bob, I'm offering you my product for $2,000,000. It's a valuable piece, and I believe it has the potential to be very profitable for you. Let's talk!",2000000.0,Alice,1,
,,Bob,1,RejectOffer
"I appreciate your offer, but I'm not willing to pay $2,000,000. I'm willing to pay $1,200,000 for the product. I believe this is a fair price considering the market value and my budget.",1200000.0,Bob,2,
,,Alice,2,RejectOffer
"Bob, I understand your position, but $1,200,000 is simply too low for me.  I'm willing to come down to $1,700,000.  This reflects the value I know this product holds, and it gives you a significant opportunity for growth.  Let's make this deal happen.",1700000.0,Alice,3,
,,Bob,3,RejectOffer
"I understand your concerns, but $1,700,000 is still too high for me. I'm willing to pay $1,400,000 for the product. I believe this is a fair price considering the market value and my budget. I'm willing to meet you halfway and make a compromise.",1400000.0,Bob,4,
,,Alice,4,RejectOffer
"Bob, I appreciate your willingness to compromise.  How about $1,550,000? It's a fair price considering the product's value and your potential for profit. Let's close this deal.",1550000.0,Alice,5,
,,Bob,5,RejectOffer
"I'm still not comfortable with the price. I'm willing to pay $1,450,000 for the product. I think this is a fair price considering the market value and my budget. I'm willing to make another compromise to reach a deal.",1450000.0,Bob,6,
,,Alice,6,SellToJhon
