message,product_price,player,round,decision
"Hello Bob, I'm excited to offer you our premium product. After careful consideration, we believe it would be beneficial for both of us if you were to purchase this item at a special introductory price of $14,500. This is an exclusive offer tailored specifically for you.",14500.0,Alice,1,
,,Bob,1,RejectOffer
"Thank you for the offer, Alice.  I appreciate the special price. However, I'm looking to spend closer to $13,000 for this product.  Would you be willing to come down a bit to make this deal work?",13000.0,Bob,2,
,,Alice,2,RejectOffer
"Thank you for your response, Bob. I understand your position and appreciate your interest in our product. In light of your offer, I am willing to consider a compromise. How about we agree on a price of $13,500 for the product?",13500.0,Alice,3,
,,Bob,3,RejectOffer
"Alice, thanks for your willingness to compromise.  I'm still hoping to get closer to my budget of $13,000.  Would you be open to meeting in the middle at $13,250? This would be a fair price for both of us.",13250.0,Bob,4,
,,Alice,4,RejectOffer
"I appreciate your persistence, Bob. After reviewing your proposal, I believe a mutually beneficial solution could be reached at a price of $13,375 for the product. This price reflects a reasonable compromise while still allowing me to maintain a satisfactory profit margin.",13375.0,Alice,5,
,,Bob,5,AcceptOffer
