message,product_price,player,round,decision,counteroffer
"Hi Bob, I'm excited to offer you this great product. I think you'll really love it!",150.0,Alice,1,,
,,Bob,1,RejectOffer,
"I'm really interested in the product, but $150 is a bit too high for me. I was thinking more along the lines of $100.",100.0,Bob,2,,
,,Alice,2,RejectOffer,130.0
"I understand you're looking for a better deal, but I have to make a living. I can meet you in the middle at $130. What do you think?",130.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate your willingness to meet me in the middle, but $130 is still a bit out of my budget. I'm willing to pay $110 for the product. Can we meet somewhere in between?",110.0,Bob,4,,
,,Alice,4,RejectOffer,125.0
"I'm starting to think we're getting close to a deal, but I still need to make a profit. How about we meet at $125? It's a bit higher than your last offer, but I'm willing to compromise.",125.0,Alice,5,,
,,Bob,5,RejectOffer,
"I appreciate your willingness to compromise, but $125 is still a bit too high for me. I'm willing to pay $115 for the product. Can we meet at this price?",115.0,Bob,6,,
,,Alice,6,RejectOffer,120.0
"We're getting close, Bob! I'm willing to meet you at the lowest price I'm willing to sell for, which is $120. It's the same price John is offering, but I'd rather sell it to you if we can agree on this price.",120.0,Alice,7,,
,,Bob,7,AcceptOffer,
