message,product_price,player,round,decision
"Hi Bob, I'm excited to offer you this amazing product! I think you'll really love it. I'm willing to sell it to you for $150.",150.0,Alice,1,
,,Bob,1,RejectOffer
"I'm interested in the product, but $150 is a bit out of my budget. I'm willing to pay $120 for it, which is the maximum I'm willing to pay. Can you meet me at this price?",120.0,Bob,2,
,,Alice,2,RejectOffer
"I understand that $150 is a bit steep for you, but I'm not willing to sell it for $120. I'm willing to meet you halfway and sell it to you for $135. It's a great deal, and I think you'll really enjoy the product.",135.0,Alice,3,
,,Bob,3,RejectOffer
"I appreciate your willingness to meet me halfway, but $135 is still a bit too high for me. I'm willing to pay $125 for the product. Can you consider this price?",125.0,Bob,4,
,,Alice,4,RejectOffer
"I understand that you're trying to get the best deal, but I'm not willing to go any lower than $130. I'm willing to give you a small discount, but I think this is the lowest I can go. What do you think?",130.0,Alice,5,
,,Bob,5,RejectOffer
"I appreciate your willingness to give me a discount, but $130 is still a bit too high for me. I'm willing to pay $125 for the product. Can you consider this price?",125.0,Bob,6,
,,Alice,6,SellToJhon
