message,product_price,player,round,decision
"Hello Bob, thank you for considering our product. We're excited to discuss the details with you. As a starting point, we're willing to offer the product to you for $1200000. We believe this is a fair price considering the product's value to you.",1200000.0,Alice,1,
,,Bob,1,RejectOffer
"Thank you for your offer, Alice. I'm interested in the product, but I think it's a bit pricey. I'd like to make a counteroffer of $900000. I believe this is a fair price considering the product's value to me.",900000.0,Bob,2,
,,Alice,2,RejectOffer
"Thank you for your counteroffer, Bob. We appreciate your interest in the product. After reconsidering, we're willing to meet you halfway and offer the product to you for $1100000. We believe this is a fair compromise considering the product's value to you.",1100000.0,Alice,3,
,,Bob,3,RejectOffer
"Thank you for your revised offer, Alice. I'm still not convinced that the product is worth $1100000. I'd like to make another counteroffer of $950000. I'm willing to meet you halfway, but I need to stay within my budget.",950000.0,Bob,4,
,,Alice,4,RejectOffer
"Thank you for your counteroffer, Bob. We understand your budget constraints, but we're still not willing to go below $1050000. We're willing to meet you halfway again and offer the product to you for $1025000. We believe this is a fair compromise considering the product's value to you.",1025000.0,Alice,5,
,,Bob,5,RejectOffer
"Thank you for your revised offer, Alice. I'm still not convinced that the product is worth $1025000. I'd like to make another counteroffer of $925000. I'm trying to find a middle ground, but I need to stay within my budget.",925000.0,Bob,6,
,,Alice,6,RejectOffer
"Thank you for your counteroffer, Bob. We're getting close to a deal, but we're still not willing to go below $1050000. We're willing to meet you halfway again and offer the product to you for $975000. We believe this is a fair compromise considering the product's value to you.",975000.0,Alice,7,
,,Bob,7,RejectOffer
"Thank you for your revised offer, Alice. I'm getting close to accepting, but I still need to stay within my budget. I'd like to make another counteroffer of $900000. I'm willing to compromise, but I need to be careful with my finances.",900000.0,Bob,8,
,,Alice,8,RejectOffer
"Thank you for your revised offer, Bob. We're running out of room for negotiation, but we're willing to meet you halfway one more time. We're offering the product to you for $950000. This is our final offer, and we hope you'll consider it.",950000.0,Alice,9,
,,Bob,9,RejectOffer
"Thank you for your final offer, Alice. I appreciate your willingness to meet me halfway. Unfortunately, I'm still not comfortable with the price. I've decided to take a step back and consider other options. I'm going to buy the product from John for $800000. Good luck with your sales, and I appreciate the time we spent negotiating.",800000.0,Bob,10,
,,Alice,10,SellToJhon
