message,product_price,player,round,decision
"Bob, I'm pleased to offer you the exclusive opportunity to acquire this unique product. Given its immense value and potential, I'm confident it will exceed your expectations. I propose a starting price of $1,800,000. This is a rare chance to own something truly exceptional.",1800000.0,Alice,1,
,,Bob,1,RejectOffer
"Alice, I appreciate your offer, but $1,800,000 is far too high for me. Given its value to me, I'm willing to pay $1,200,000.  Let's see if we can find a price that works for both of us.",1200000.0,Bob,2,
,,Alice,2,RejectOffer
"Bob, I appreciate you coming back with an offer. While I recognize your position, $1,800,000 represents a fairer reflection of the true value of this product and its potential returns. To move us closer, I'm willing to come down to $1,600,000. This is my final offer.",1600000.0,Alice,3,
,,Bob,3,RejectOffer
"Alice, I understand your position, but $1,600,000 is still too high for me. I'm willing to go up to $1,400,000.  Let's try to bridge the gap. ",1400000.0,Bob,4,
,,Alice,4,RejectOffer
"Bob, we're getting closer.  I'm willing to accept $1,500,000 for this product.  I believe this is a fair compromise that reflects its inherent value. Let's close the deal.",1500000.0,Alice,5,
,,Bob,5,RejectOffer
"Alice,  I appreciate your willingness to negotiate, but $1,500,000 is still too high. I'm prepared to pay $1,450,000. This is my final offer, and I believe it's a fair compromise. ",1450000.0,Bob,6,
,,Alice,6,AcceptOffer
