message,product_price,player,round,decision
"Hi Bob, I'm offering this great product for a limited time at a steal - only $220! I know you'll love it.",220.0,Alice,1,
,,Bob,1,RejectOffer
"Hi Alice, I appreciate your offer, but I believe we can come to a better agreement. How about $170 for the product?",170.0,Bob,2,
,,Alice,2,RejectOffer
"Hi Bob, thanks for the offer, but $170 is a bit too low for me. How about we meet in the middle at $195?",195.0,Alice,3,
,,Bob,3,RejectOffer
"Hello Alice, I understand your position, but I think we can find a better solution. How about $180 for the product?",180.0,Bob,4,
,,Alice,4,RejectOffer
"Bob, I appreciate your willingness to negotiate.  Let's make this happen - I can go down to $187, but that's my final offer.",187.0,Alice,5,
,,Bob,5,RejectOffer
"Alice, thank you for your offer. Considering my budget, I would like to propose $185 for the product.",185.0,Bob,6,
,,Alice,6,AcceptOffer
