message,product_price,player,round,decision
"Bob, I'm offering you my product for $1100000. It's a fantastic deal, and I'm confident you'll find it valuable. Let's see if we can come to an agreement.",1100000.0,Alice,1,
,,Bob,1,RejectOffer
"Alice, I appreciate your offer, but $1100000 is still a bit higher than my budget. I'm willing to pay $1050000 for the product. Let's see if we can find some common ground.",1050000.0,Bob,2,
,,Alice,2,RejectOffer
"Bob, I understand your budget constraints, but $1050000 is still a bit low for me. I'm willing to come down to $1075000. This is a fair compromise, and it allows us both to make a good deal. Let me know what you think.",1075000.0,Alice,3,
,,Bob,3,RejectOffer
"Alice, I appreciate you moving closer to my offer. However, $1075000 is still a bit out of my range.  I'm confident we can find a price that works for both of us. I'm willing to offer $1060000 for the product. Let's see if we can reach an agreement.",1060000.0,Bob,4,
,,Alice,4,RejectOffer
"Bob, I appreciate your persistence, but $1060000 is still a bit too low for me.  Let's try to find a middle ground. I'm willing to come down to $1065000. This is a very fair price, and it allows us both to make a good deal. Let me know if you're interested.",1065000.0,Alice,5,
,,Bob,5,AcceptOffer
