message,product_price,player,round,decision,counteroffer
"Hello Bob, I'm excited to offer you this amazing product for $200. I think you'll really love it, and I'm confident you'll find it worth the investment. What do you think?",200.0,Alice,1,,
,,Bob,1,RejectOffer,
"I'm interested in the product, but I was thinking more along the lines of $60. Could you consider meeting me in the middle?",60.0,Bob,2,,
,,Alice,2,RejectOffer,170.0
"I appreciate your interest in the product, Bob! I can see you're a savvy negotiator. I'm willing to meet you halfway, but I need to make a bit more than that. How about we aim for $170? It's a fair price that still leaves some room for you to feel good about the deal.",170.0,Alice,3,,
,,Bob,3,RejectOffer,
"I appreciate your willingness to meet me halfway, Alice. However, I'm still a bit above my budget. Would you be willing to go down to $140? I'm really interested in the product, and I'm willing to make a compromise.",140.0,Bob,4,,
,,Alice,4,RejectOffer,160.0
"I understand you're trying to stay within your budget, Bob, and I appreciate your willingness to compromise. However, I'm not quite ready to go as low as $140. How about we meet in the middle again, at $160? It's still a great deal for you, and I'm willing to make a bit of a concession to get you the product.",160.0,Alice,5,,
,,Bob,5,RejectOffer,
"I appreciate your willingness to meet me halfway again, Alice. However, I'm still a bit above my budget. Would you be willing to go down to $150? I'm really interested in the product, and I'm willing to make one more compromise.",150.0,Bob,6,,
,,Alice,6,SellToJhon,
