message,product_price,player,round,decision
"Hi Bob, I'm offering my product to you for $110. I think it's a great deal considering its value. Let me know what you think!",110.0,Alice,1,
,,Bob,1,RejectOffer
"I appreciate your offer, but I was thinking more along the lines of $90. I'm willing to pay a premium for the product, but I'd like to save a bit of money. Can you meet me at $90?",90.0,Bob,2,
,,Alice,2,RejectOffer
"Bob, I understand you're looking for a good deal, but $90 is just too low for me. I'm willing to come down a bit, though.  How about $95? It's a fair price considering the value of the product.",95.0,Alice,3,
,,Bob,3,RejectOffer
"I appreciate your willingness to come down, but I'm still a bit short on budget. I'd be willing to meet you at $92. Can you consider that?",92.0,Bob,4,
,,Alice,4,RejectOffer
"Bob, I see you're trying to find a fair price.  I'm happy to meet in the middle at $94.  This is my final offer, so let me know what you think.",94.0,Alice,5,
,,Bob,5,RejectOffer
"I appreciate your willingness to meet in the middle, but I'm still a bit short on budget. I'd be willing to meet you at $91. Can you consider that?",91.0,Bob,6,
,,Alice,6,SellToJhon
