message,product_price,player,round,decision
"Hello Bob, I'm excited to offer you our premium product. After careful consideration, I believe we can come to an agreement that benefits both of us. I propose a price of $14,000 for the product. This price reflects its value to you and allows us to maintain a fair transaction.",14000.0,Alice,1,
,,Bob,1,RejectOffer
"Thanks for the offer Alice, but I'm looking to spend closer to $12,000. I'm willing to pay $12,500 for the product.  Let me know what you think.",12500.0,Bob,2,
,,Alice,2,RejectOffer
"Thank you for your response, Bob. I appreciate your interest in our product. After reviewing your offer, I would like to counter with a price of $13,500. This price aims to balance your needs while ensuring a fair transaction for us. I look forward to your feedback.",13500.0,Alice,3,
,,Bob,3,RejectOffer
"Alice, I appreciate you meeting me halfway.  I'm still a bit higher than where I want to be.  I'll offer $13,000 for the product.  Let's see if we can bridge the gap.",13000.0,Bob,4,
,,Alice,4,RejectOffer
"I understand your position, Bob. Considering our previous discussions, I propose a price of $13,250 for the product. This price reflects a compromise between our respective positions and maintains a fair transaction. I hope this proposal will lead to a satisfactory agreement for both of us.",13250.0,Alice,5,
,,Bob,5,RejectOffer
"Alice, I'm getting closer to my target price.  I'm going to offer $13,100 for the product. Let's see if we can close this deal.",13100.0,Bob,6,
,,Alice,6,RejectOffer
"Thank you for your continued engagement, Bob. I appreciate your efforts to reach an agreement. Based on our previous negotiations, I would like to propose a final price of $13,150 for the product. This price aims to be fair to both parties and I hope it will facilitate a successful conclusion of this transaction.",13150.0,Alice,7,
,,Bob,7,BuyFromJhon
