message,product_price,player,round,decision
"Hi Bob, I'm excited to offer you this amazing product! I think it's a great value, and I'm willing to sell it to you for $90.",90.0,Alice,1,
,,Bob,1,RejectOffer
"Hi Alice, thank you for the offer! I think the product sounds interesting, but I was thinking of making a counteroffer. I'd be willing to pay $80 for the product. Can you consider this offer?",80.0,Bob,2,
,,Alice,2,RejectOffer
"Hi Bob, thanks for the counteroffer! I understand your offer is a bit lower than my initial price, but I'm willing to compromise. I can sell the product to you for $85. It's a great deal, and I think you'll really enjoy the product.",85.0,Alice,3,
,,Bob,3,RejectOffer
"Hi Alice, thank you for the revised offer! I'm still a bit hesitant to go up to $85. I'd be willing to meet you halfway and offer $82.50 for the product. Can you consider this offer?",82.5,Bob,4,
,,Alice,4,RejectOffer
"Hi Bob, I understand you're trying to find a sweet spot, and I appreciate your willingness to meet me halfway. I'm willing to make one more concession. I can sell the product to you for $83. It's a great deal, and I think you'll really enjoy the product.",83.0,Alice,5,
,,Bob,5,RejectOffer
"Hi Alice, thank you for the revised offer again! I'm still a bit short on budget, but I'm willing to go up to $81 for the product. Can you consider this offer?",81.0,Bob,6,
,,Alice,6,SellToJhon
