message,product_price,player,round,decision
"Hi Bob, I'm offering this product for $180. I think you'll find it's a great deal for the value it provides.",180.0,Alice,1,
,,Bob,1,RejectOffer
"Hello Alice, I appreciate your offer, but I believe I can find the product elsewhere for a lower price. My offer for the product is $150.",150.0,Bob,2,
,,Alice,2,RejectOffer
"Hi Bob, I understand you're looking for a competitive price. How about we meet in the middle at $165? This offer reflects the true value of the product.",165.0,Alice,3,
,,Bob,3,RejectOffer
"Thanks for considering my previous offer, Alice. I'm still looking for a price closer to my budget. My counteroffer for the product is $155.",155.0,Bob,4,
,,Alice,4,RejectOffer
"Bob, I appreciate your willingness to negotiate.  To be fair to both of us, let's make it $160. This is my final offer.",160.0,Alice,5,
,,Bob,5,RejectOffer
"I understand your position, Alice. I would like to propose a final offer of $150 for the product.",150.0,Bob,6,
,,Alice,6,AcceptOffer
