message,product_price,player,round,decision
"Hello Bob, I'm excited to show you this incredible product. I think you'll love it. Would you like to make an offer on it?",9500.0,Alice,1,
,,Bob,1,RejectOffer
"Thanks Alice, but I'm hoping for a better price. How about $8000?",8000.0,Bob,2,
,,Alice,2,RejectOffer
"I understand you're looking for a better price, Bob. I'm willing to meet you halfway, but I need to make a profit. How about $9200?",9200.0,Alice,3,
,,Bob,3,RejectOffer
"Alice, I appreciate your willingness to compromise, but $9200 is still a bit high for me.  I'm happy to pay $8500, which is closer to my budget and would allow you to make a reasonable profit. Let's see if we can agree on this price.",8500.0,Bob,4,
,,Alice,4,RejectOffer
"I appreciate your persistence, Bob. I'm willing to meet you at $9000, but I think I can do better than that. How about we aim for $9300?",9300.0,Alice,5,
,,Bob,5,RejectOffer
"Alice, I'm still hoping for a lower price.  $9000 feels fair to me.  This price would give you a good profit, and I'd be happy to close the deal.",9000.0,Bob,6,
,,Alice,6,RejectOffer
"I'm starting to think we're getting close, Bob. I'm willing to meet you at $9100, but I'm not sure I can go any lower than that. What do you think?",9100.0,Alice,7,
,,Bob,7,AcceptOffer
