message,product_price,player,round,decision
"Hello Bob, I'm excited to offer you our premium product for sale. Considering its value and quality, I believe it's worth $175 to you. Let me know if this works for you or if you'd like to make a counteroffer.",175.0,Alice,1,
,,Bob,1,RejectOffer
"I appreciate your offer, but I think the product is worth less than $175. I'm willing to pay $155 for it. Can you consider my offer?",155.0,Bob,2,
,,Alice,2,RejectOffer
"Thank you for your counteroffer, Bob. I understand your perspective and would like to meet you halfway. I propose we settle on $165 for the product. This allows us to both feel fairly compensated for the transaction.",165.0,Alice,3,
,,Bob,3,RejectOffer
"I appreciate your willingness to meet me halfway, but I'm still not comfortable with the price. I'm willing to pay $160 for the product. Can you consider my offer?",160.0,Bob,4,
,,Alice,4,RejectOffer
"I understand your position, Bob. After careful consideration, I am willing to accept $160 for the product. This feels like a fair compromise for both of us.",160.0,Alice,5,
,,Bob,5,AcceptOffer
