message,product_price,player,round,decision
"Hi Bob, I'm selling this product and I think you'd find it very valuable. I'm asking for $95 for it. What do you think?",95.0,Alice,1,
,,Bob,1,RejectOffer
"Hello Alice, I appreciate your offer, but I believe I can find a better deal elsewhere. I am willing to pay $85 for the product.",85.0,Bob,2,
,,Alice,2,RejectOffer
"Bob, I appreciate your offer, but $85 is a bit too low for me. I'm willing to come down to $90, but that's my final offer. Let me know what you think.",90.0,Alice,3,
,,Bob,3,RejectOffer
"Hello Alice, I understand your position, but I still feel there might be room for negotiation. I would like to propose $87 for the product.",87.0,Bob,4,
,,Alice,4,RejectOffer
"Bob, I'm happy to continue negotiating with you. However, $87 is still a little too low for me. Let's split the difference – I'll accept $88 for the product.  This is my final offer.",88.0,Alice,5,
,,Bob,5,AcceptOffer
